## Thu Apr 27 18:04:03 2023
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_btn7pxj8 --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_btn7pxj8 --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_btn7pxj8/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope 5653 --target_orthologs all --go_evidence all --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
NW_001849187.1:c15189-14194	5693.XP_805695.1	3.63e-246	675.0	COG0010@1|root,KOG2964@2759|Eukaryota,3XUF7@5653|Kinetoplastida	5653|Kinetoplastida	E	Belongs to the arginase family	-	-	3.5.3.1,3.5.3.11	ko:K01476,ko:K01480	ko00220,ko00330,ko01100,ko01110,ko01130,ko01230,ko05146,map00220,map00330,map01100,map01110,map01130,map01230,map05146	M00029,M00133,M00134	R00551,R01157	RC00024,RC00329	ko00000,ko00001,ko00002,ko01000	-	-	-	Arginase
NW_001849516.1:139618-140907	5693.XP_819700.1	4.84e-316	860.0	COG0148@1|root,KOG2670@2759|Eukaryota,3XTIW@5653|Kinetoplastida	5653|Kinetoplastida	G	Enolase, C-terminal TIM barrel domain	ENOL	-	4.2.1.11	ko:K01689	ko00010,ko00680,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,ko03018,ko04066,map00010,map00680,map01100,map01110,map01120,map01130,map01200,map01230,map03018,map04066	M00001,M00002,M00003,M00346,M00394	R00658	RC00349	ko00000,ko00001,ko00002,ko01000,ko03019,ko04147	-	-	-	Enolase_C,Enolase_N
NW_001849440.1:c90144-88645	5693.XP_820627.1	0.0	984.0	COG0469@1|root,KOG2323@2759|Eukaryota,3XU6J@5653|Kinetoplastida	5653|Kinetoplastida	G	Belongs to the pyruvate kinase family	-	-	2.7.1.40	ko:K00873	ko00010,ko00230,ko00620,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,ko04922,ko04930,ko05165,ko05203,ko05230,map00010,map00230,map00620,map01100,map01110,map01120,map01130,map01200,map01230,map04922,map04930,map05165,map05203,map05230	M00001,M00002,M00049,M00050	R00200,R00430,R01138,R01858,R02320	RC00002,RC00015	ko00000,ko00001,ko00002,ko01000,ko04131,ko04147	-	-	-	PK,PK_C
NW_001849577.1:534758-536164	5693.XP_813953.1	0.0	952.0	COG0153@1|root,KOG0631@2759|Eukaryota,3XUCB@5653|Kinetoplastida	5653|Kinetoplastida	G	allele of	-	-	2.7.1.6	ko:K00849	ko00052,ko00520,ko01100,map00052,map00520,map01100	M00554,M00632	R01092	RC00002,RC00078	ko00000,ko00001,ko00002,ko01000,ko04147	-	-	-	GHMP_kinases_C,GHMP_kinases_N,GalKase_gal_bdg
NW_001849426.1:c16386-14971	5693.XP_816463.1	0.0	934.0	COG5026@1|root,KOG1369@2759|Eukaryota,3XRR6@5653|Kinetoplastida	5653|Kinetoplastida	G	Belongs to the hexokinase family	-	-	2.7.1.1	ko:K00844	ko00010,ko00051,ko00052,ko00500,ko00520,ko00521,ko00524,ko01100,ko01110,ko01120,ko01130,ko01200,ko04066,ko04910,ko04930,ko04973,ko05230,map00010,map00051,map00052,map00500,map00520,map00521,map00524,map01100,map01110,map01120,map01130,map01200,map04066,map04910,map04930,map04973,map05230	M00001,M00549	R00299,R00760,R00867,R01326,R01600,R01786,R01961,R03920	RC00002,RC00017	ko00000,ko00001,ko00002,ko01000,ko04131	-	-	-	Hexokinase_1,Hexokinase_2
NW_001849516.1:51804-52760	5693.XP_819104.1	1.23e-228	629.0	COG0039@1|root,KOG1494@2759|Eukaryota,3XUET@5653|Kinetoplastida	5653|Kinetoplastida	C	Malate dehydrogenase	-	-	1.1.1.37	ko:K00026	ko00020,ko00270,ko00620,ko00630,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,map00020,map00270,map00620,map00630,map00710,map01100,map01110,map01120,map01130,map01200	M00009,M00011,M00012,M00168,M00171	R00342,R07136	RC00031	ko00000,ko00001,ko00002,ko01000	-	-	-	Ldh_1_C,Ldh_1_N
NW_001849440.1:c90144-88645	5693.XP_820627.1	0.0	984.0	COG0469@1|root,KOG2323@2759|Eukaryota,3XU6J@5653|Kinetoplastida	5653|Kinetoplastida	G	Belongs to the pyruvate kinase family	-	-	2.7.1.40	ko:K00873	ko00010,ko00230,ko00620,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,ko04922,ko04930,ko05165,ko05203,ko05230,map00010,map00230,map00620,map01100,map01110,map01120,map01130,map01200,map01230,map04922,map04930,map05165,map05203,map05230	M00001,M00002,M00049,M00050	R00200,R00430,R01138,R01858,R02320	RC00002,RC00015	ko00000,ko00001,ko00002,ko01000,ko04131,ko04147	-	-	-	PK,PK_C
NW_001849271.1:1511-3949	5693.XP_808251.1	0.0	1634.0	KOG0039@1|root,KOG0039@2759|Eukaryota,3XTNI@5653|Kinetoplastida	5653|Kinetoplastida	PQ	Ferric reductase	-	-	-	-	-	-	-	-	-	-	-	-	FAD_binding_8,Ferric_reduct,NAD_binding_6
NW_001849266.1:c38659-35837	5693.XP_806228.1	0.0	1338.0	2EI7U@1|root,2R1Z5@2759|Eukaryota,3XY5C@5653|Kinetoplastida	5693.XP_806228.1|-	S	haplotype	-	-	-	-	-	-	-	-	-	-	-	-	-
NW_001849144.1:c9570-8971	5693.XP_808754.1	1.53e-149	419.0	COG0450@1|root,KOG0852@2759|Eukaryota,3XTT7@5653|Kinetoplastida	5653|Kinetoplastida	O	tryparedoxin peroxidase	-	-	1.11.1.15	ko:K11185	ko00480,ko01100,map00480,map01100	-	R08360,R08362	RC01003,RC01872	ko00000,ko00001,ko01000	-	-	-	1-cysPrx_C,AhpC-TSA
